Shear_QGCH_LGB2050R_A_DEM_26.dat 
     1 
     1     3     1 
    26    26    26 
Fractional porosity                -- 
   0.0000000000   0.0160000000   0.0320000000   0.0480000000   0.0640000000   0.0800000000   0.0960000000   0.1120000000   0.1280000000   0.1440000000   0.1600000000   0.1760000000   0.1920000000   0.2080000000   0.2240000000   0.2400000000   0.2560000000   0.2720000000   0.2880000000   0.3040000000   0.3200000000   0.3360000000   0.3520000000   0.3680000000   0.3840000000   0.4000000000  
Fractional clay content            -- 
   0.0000000000   0.0400000000   0.0800000000   0.1200000000   0.1600000000   0.2000000000   0.2400000000   0.2800000000   0.3200000000   0.3600000000   0.4000000000   0.4400000000   0.4800000000   0.5200000000   0.5600000000   0.6000000000   0.6400000000   0.6800000000   0.7200000000   0.7600000000   0.8000000000   0.8400000000   0.8800000000   0.9200000000   0.9600000000   1.0000000000  
Fractional water saturation        -- 
   0.0000000000   0.0400000000   0.0800000000   0.1200000000   0.1600000000   0.2000000000   0.2400000000   0.2800000000   0.3200000000   0.3600000000   0.4000000000   0.4400000000   0.4800000000   0.5200000000   0.5600000000   0.6000000000   0.6400000000   0.6800000000   0.7200000000   0.7600000000   0.8000000000   0.8400000000   0.8800000000   0.9200000000   0.9600000000   1.0000000000  
Shear modulus                      GPa 
  44.0000000000  41.4796635743  39.0674420510  36.7602356914  34.5549954245  32.4487221185  30.4384658761  28.5213253523  26.6944470961  24.9550249157  23.3002992667  21.7275566646  20.2341291200  18.8173935983  17.4747715027  16.2037281809  15.0017724560  13.8664561811  12.7953738177  11.7861620381  10.8364993520   9.9441057566   9.1067424103   8.3222113312   7.5883551173   6.9030566910  
  39.4203773585  37.1928554778  35.0579527333  33.0132534217  31.0563661718  29.1849240995  27.3965849662  25.6890313411  24.0599707673  22.5071359320  21.0282848407  19.6212009955  18.2836935784  17.0135976384  15.8087742840  14.6671108801  13.5865212500  12.5649458823  11.6003521436  10.6907344957   9.8341147188   9.0285421396   8.2720938650   7.5628750213   6.8990189976   6.2786876953  
  35.9818473896  33.9702003588  32.0400994274  30.1895939153  28.4167406138  26.7196044835  25.0962593448  23.5447885601  22.0632857086  20.6498552533  19.3026132011  18.0196877546  16.7992199581  15.6393643356  14.5382895225  13.4941788905  12.5052311660  11.5696610423  10.6856997849   9.8515958318   9.0656153865   8.3260430054   7.6311821796   6.9793559095   6.3689072742   5.7981999932  
  33.2415384615  31.3993329756  29.6302158934  27.9325753364  26.3047953835  24.7452571199  23.2523396714  21.8244212244  20.4598800311  19.1570954008  17.9144486760  16.7303241957  15.6031102429  14.5311999790  13.5129923643  12.5468930643  11.6313153419  10.7646809370   9.9454209311   9.1719765998   8.4428002502   7.7563560464   7.1111208203   6.5055848686   5.9382527369   5.4076439888  
  30.9595046440  29.2566021552  27.6199992120  26.0483440183  24.5402724860  23.0944095174  21.7093702703  20.3837614043  19.1161823092  17.9052263150  16.7494818838  15.6475337827  14.5979642390  13.5993540760  12.6502838311  11.7493348553  10.8950903940  10.0861366492   9.3210638239   8.5984671474   7.9169478824   7.2751143131   6.6715827154   6.1049783073   5.5739361807   5.0771022137  
  28.9944444444  27.4101873808  25.8865686524  24.4224444073  23.0166523716  21.6680132897  20.3753323472  19.1374005719  17.9529962165  16.8208861204  15.7398270500  14.7085670200  13.7258465920  12.7904001529  11.9009571720  11.0562434360  10.2549822636   9.4958956977   8.7777056758   8.0991351791   7.4589093597   6.8557566451   6.2884098205   5.7556070895   5.2560931104   4.7886200107  
  27.2577329975  25.7773480935  24.3527373287  22.9829285654  21.6669265595  20.4037145103  19.1922555888  18.0314944480  16.9203587112  15.8577604396  14.8425975790  13.8737553835  12.9501078177  12.0705189359  11.2338442386  10.4389320054   9.6846246052   8.9697597818   8.2931719164   7.6536932658   7.0501551760   6.4813892716   5.9462286202   5.4435088714   4.9720693706   4.5307542465  
  25.6909677419  24.3035227571  22.9675720444  21.6822889785  20.4468201760  19.2602871158  18.1217877407  17.0303980402  15.9851736125  14.9851512059  14.0293502389  13.1167742977  12.2464126109  11.4172415013  10.6282258135   9.8783203175   9.1664710881   8.4916168587   7.8526903501   7.2486195743   6.6783291111   6.1407413597   5.6347777628   5.1593600036   4.7134111761   4.2958569259  
